TIME,2019,2020,2021,2022,2023,2024
GEO,,,,,,
European Union - 27 countries (from 2020),14 122 990.7,13 580 293.9,13 168 340.4,13 628 365.8,12 307 167.4,12 640 498.4
"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",12 082 055.1,11 564 492.6,11 316 197.6,11 690 781.5,10 615 103.7,10 906 041.2
Euro area – 20 countries (from 2023),12 137 823.7,11 615 213.5,11 366 404.9,11 743 817.0,10 660 596.8,10 953 618.4
Euro area - 19 countries (2015-2022),12 082 055.1,11 564 492.6,11 316 197.6,11 690 781.5,10 615 103.7,10 906 041.2
Euro area - 12 countries (2001-2006),11 794 077.8,11 279 344.5,11 063 155.8,11 419 017.5,10 385 872.0,10 669 020.5
Belgium,479 444.9,463 750.9,443 407.2,459 491.8,415 538.0,428 467.1
Bulgaria,61 308.2,61 912.5,52 501.8,56 131.3,45 797.8,48 752.1
Czechia,229 406.7,220 310.6,196 738.7,213 505.4,170 527.3,179 145.9
Denmark,308 546.2,312 118.3,294 355.0,301 017.3,272 193.0,282 265.1
Germany,3 534 880.0,3 449 620.0,3 331 110.0,3 431 130.0,3 085 650.0,3 196 110.0
Estonia,28 472.1,27 859.3,24 316.1,26 438.5,21 010.9,22 189.0
Ireland,363 674.9,382 207.1,308 522.8,334 865.7,272 544.3,276 205.9
Greece,185 181.2,167 539.5,177 378.5,180 615.7,175 362.9,174 448.2
Spain,1 253 710.0,1 129 214.0,1 170 024.0,1 212 276.0,1 087 112.0,1 122 967.0
France,2 432 206.8,2 318 276.2,2 291 680.5,2 355 362.8,2 201 401.6,2 231 819.2
Croatia,55 768.6,50 720.9,50 207.3,53 035.5,45 493.1,47 577.2
Italy,1 804 066.8,1 670 011.9,1 744 493.0,1 777 744.4,1 663 277.7,1 704 856.7
Cyprus,23 400.9,22 373.6,20 312.4,21 807.8,17 944.2,19 013.8
Latvia,29 567.0,29 224.3,26 017.1,28 153.4,23 744.3,24 498.2
Lithuania,49 239.2,50 264.6,42 274.6,45 947.4,37 440.7,38 820.7
Luxembourg,62 431.5,64 524.3,58 168.8,60 121.2,54 142.3,56 208.1
Hungary,147 373.2,138 954.5,127 222.5,136 580.0,112 854.0,116 593.5
Malta,14 594.2,14 367.0,12 535.7,13 678.6,10 221.4,10 864.3
Netherlands,829 767.0,816 463.0,750 861.0,787 273.0,699 175.0,720 175.0
Austria,395 706.8,380 317.9,367 294.9,383 234.3,342 083.5,355 665.6
Poland,538 423.5,531 827.4,469 071.2,503 951.0,432 485.8,427 658.6
Portugal,214 489.9,201 032.7,195 509.1,204 997.6,179 392.7,186 380.7
Romania,224 767.4,221 075.5,186 399.2,206 201.2,160 289.0,167 497.1
Slovenia,48 156.5,46 738.7,42 625.5,45 462.4,38 493.9,40 013.2
Slovakia,94 547.5,94 320.6,84 960.4,90 275.9,80 376.3,81 621.6
Finland,238 518.0,236 387.0,224 706.0,231 905.0,210 192.0,215 717.0
Sweden,475 341.9,478 881.6,475 647.1,467 162.6,452 423.7,464 967.6
Iceland,22 043.3,18 948.0,21 917.7,22 238.3,15 795.3,18 804.2
Liechtenstein,5 750.1,5 618.0,5 734.6,5 666.3,5 649.1,5 637.7
Norway,365 130.5,322 823.8,356 288.5,372 657.6,349 756.7,335 396.5
Switzerland,644 443.2,650 742.6,615 776.3,614 304.4,625 532.7,621 765.1
United Kingdom,2 526 615.2,:,2 359 789.9,2 420 897.2,2 644 716.5,2 434 119.2
Bosnia and Herzegovina,18 296.5,17 755.9,16 260.5,17 354.2,14 791.1 (b),15 474.3
Montenegro,4 950.7,4 185.6,4 299.1,4 663.1,3 654.5,3 954.2
North Macedonia,11 262.0,10 851.7,10 038.3,10 744.0,9 072.3,9 656.5
Albania,13 917.9 (b),13 379.5,11 559.0,12 828.1,10 264.1,10 719.9
Serbia,48 104.5,49 024.2,40 828.4,44 710.6,37 219.6,38 164.7
Türkiye,679 135.8,626 785.3,760 497.1,658 963.4,777 042.3,785 618.9
Kosovo*,7 056.2,6 771.6,6 356.5,6 671.5,5 674.4,6 037.3
